,0,1,2,3,4,5,6
221,18900,2004,153000,2771,0,32,-
222,103500,2018,138263,1984,0,2,0
223,189000,2023,2,1498,0,32,1
224,13500,2005,314023,1896,1,39,1
225,12500,1996,110000,1781,0,16,-
226,45800,2015,126400,1395,0,16,0
227,14300,2005,312000,1896,1,16,1
228,35000,2006,195000,3597,0,32,2
229,42500,2008,245000,2967,1,46,2
230,55500,2019,146314,1598,1,16,1
231,9700,2003,376000,1896,1,32,-
232,27000,2010,180900,1968,1,16,2
233,24500,2009,288000,1968,1,13,1
234,159000,2018,61000,1968,1,44,-
235,78000,2015,266000,1968,1,32,-
236,38500,2011,250000,1968,1,32,2
237,16500,2004,225190,1984,0,16,-
238,22900,2011,152000,1199,1,35,1
239,285360,2022,1100,2967,1,46,-
240,20900,2010,230000,1968,1,44,-
241,24999,2007,129802,1595,0,47,1
242,37500,2013,131000,1197,0,16,1
243,32900,2012,252000,1390,1,32,-
244,36000,2016,28230,1598,1,16,-
245,104000,2017,142000,1968,1,7,2
246,24900,2009,252000,1968,1,16,-
247,25900,2012,303000,1598,1,16,-
248,10500,1983,357000,1595,0,16,-
249,30900,2011,205090,1998,1,16,1
250,21500,2008,232000,1968,1,32,1
251,42743,2012,87000,1984,0,32,1
252,55500,2014,139000,1984,0,32,-
253,65900,2012,191000,1968,1,39,-
254,142900,2019,49500,1984,0,44,1
255,5600,1999,254000,1984,1,4,1
256,7200,1999,150000,1598,0,16,2
257,27900,2008,185400,1984,0,10,1
258,26000,2009,126000,1390,0,7,-
259,8300,2004,116000,1198,0,35,2
260,109900,2019,90000,1968,1,44,0
261,27900,2010,111000,1896,1,4,2
262,13700,2003,254000,1896,1,32,-
263,24900,2012,146000,1598,1,35,1
264,4999,1996,179793,1781,0,16,1
265,21700,2005,242000,1900,1,7,2
266,6999,2003,163043,1984,0,32,0
267,130000,2017,142000,1968,1,2,1
268,49600,2015,100000,1598,1,16,1
269,22500,2008,178000,1595,1,16,1
270,65900,2017,57000,1968,1,7,-
271,64500,2009,219000,2967,1,46,2
272,18450,2006,561895,1896,1,48,-
273,38900,2013,281951,1968,1,32,1
274,64500,2018,250000,1968,1,32,0
275,16500,2007,263867,1896,1,16,1
276,4400,2002,178041,1422,1,35,1
277,12900,2006,182000,1198,0,35,2
278,49900,2012,221000,1968,1,32,2
279,102700,2016,149000,1968,1,32,2
280,35000,2005,311000,2460,1,46,-
281,23900,2008,279000,1968,1,39,2
282,55900,2018,85200,999,0,16,1
283,56200,2017,87500,1968,1,25,0
284,17900,2008,194000,1395,0,16,1
285,34440,2020,100000,1968,1,32,-
286,56900,2014,214000,1968,1,32,2
287,7500,2004,477270,1896,1,32,1
288,331838,2021,38296,2967,1,46,1
289,119000,2019,118000,1984,0,16,2
290,135000,2019,30500,1498,0,44,1
291,37900,2019,212000,1968,1,47,-
292,56900,2016,122000,1968,1,16,1
293,147900,2017,69194,1984,0,30,-
294,19999,2008,285000,1896,1,7,2
295,44900,2015,174000,1598,1,16,1
296,23900,2000,340932,2461,1,9,-
297,85000,2018,135000,1968,1,32,1
298,47900,2015,217300,1598,1,32,0
299,59700,2015,236500,1968,1,32,1
300,196900,2022,16700,1984,0,2,1
301,55900,2015,192000,1598,1,47,1
302,121999,2019,32808,1498,0,41,1
303,6300,1999,247000,1390,0,16,-
304,59999,2018,228000,1968,1,32,0
305,43600,2018,218000,1598,1,16,0
306,6500,2001,260000,1390,0,16,-
307,86900,2018,66303,1984,0,32,-
308,34500,2009,237563,1984,1,44,1
309,56900,2013,112000,1984,0,44,1
310,88000,2018,151320,1968,1,32,1
311,93900,2018,49100,1798,0,32,1
312,72899,2017,188246,1968,1,32,2
313,26999,2012,249000,1598,1,16,0
314,67000,2016,91000,1984,0,44,-
315,320000,2018,86000,2967,1,46,2
316,16800,2006,170000,1390,0,16,1
317,4500,1999,432000,1896,1,16,-
318,22500,2010,97630,1390,0,16,-
319,44900,2016,107000,1598,1,16,1
320,7900,2005,110707,1390,0,14,1
321,25900,2011,209750,1598,1,47,-
322,45900,2015,199000,1598,1,16,1
323,27800,2009,262144,1896,1,47,2
324,17700,2006,167000,1896,1,16,2
325,53700,2013,231000,1968,1,16,2
326,111900,2018,70250,1984,0,16,1
327,7000,1998,292000,1896,1,16,-
328,39500,2012,277000,1968,1,32,1
329,38999,2014,194000,1968,1,16,1
330,31300,2012,187900,1598,1,25,1
331,116900,2020,129000,1498,0,44,-
332,12000,2010,240000,1598,1,16,-
333,11900,2007,248900,1390,1,35,0
334,89900,2016,132000,1968,1,44,2
335,86900,2021,36500,1968,1,16,0
336,84500,2016,97000,1968,1,10,-
337,159900,2021,19900,1998,0,3,-
338,244382,2023,1500,1498,0,44,-
339,14950,2000,220671,1598,0,35,-
340,44650,2012,300000,1968,1,32,1
341,225000,2016,90000,1968,1,30,2
342,3500,1998,213500,1390,0,16,-
343,26000,2009,303500,1598,1,16,2
344,145000,2019,67000,1968,1,44,2
345,15400,2005,103000,1390,0,35,-
346,65000,2015,177000,1984,0,16,1
347,98800,2012,196000,2967,1,46,-
348,19500,2006,180000,1422,1,35,-
349,33900,2013,134000,1968,1,44,-
350,93900,2017,82859,1395,0,47,1
351,44900,2014,244600,1968,1,16,1
352,35500,1999,390000,2461,1,30,-
353,95900,2016,158000,1968,1,44,-
354,169000,2019,23450,1984,0,16,0
355,34500,2013,285000,1968,1,32,0
356,72500,2016,189000,1968,1,32,1
357,92000,2017,129500,1798,0,32,2
358,73900,2019,129881,1968,1,47,-
359,28500,2010,88000,1598,1,35,2
360,99000,2017,88000,1984,0,16,-
361,15900,2007,212500,1896,1,35,1
362,31500,2009,287000,1896,1,47,-
363,124900,2018,70000,1968,1,2,1
364,48700,2012,223529,1968,1,7,2
365,6700,1999,487000,1896,1,16,-
366,9000,2005,215000,1198,0,35,1
367,98800,2015,64801,1798,0,32,-
368,118900,2020,86000,1968,1,32,1
369,51000,2018,64000,999,0,35,1
370,45000,2013,249000,1968,1,32,1
371,35900,2012,184000,1390,0,16,1
372,65000,2017,150000,1968,1,32,-
373,257070,2022,4000,1984,0,44,-
374,85900,2016,231000,1968,1,48,1
375,79000,2017,163211,1395,0,47,1
376,22000,2009,260000,1390,0,16,2
377,65000,2016,184714,1598,1,47,1
378,53900,2012,250000,1968,1,44,1
379,44900,2010,207120,1968,1,16,-
380,11500,2006,230000,1896,1,47,-
381,52000,2014,104000,1390,0,10,1
382,43900,2012,203000,1984,0,10,2
383,58000,2015,211500,1968,1,16,1
384,13900,2007,393000,1968,1,32,1
385,41900,2014,154635,1598,1,16,1
386,28500,1997,460534,2500,1,30,-
387,19000,2010,295000,1598,1,16,1
388,54900,2017,259000,1968,1,16,1
389,62000,2015,238000,1968,1,32,1
390,16800,2008,206000,1896,1,16,1
391,69999,2015,261000,1984,0,32,1
392,71500,2016,210000,1984,0,32,-
393,104998,2018,183000,1968,1,32,1
394,22600,2008,212000,1595,0,16,2
395,24500,2009,260000,1968,1,16,-
396,446000,2022,13000,1968,1,8,-
397,19900,2007,217779,1896,1,47,1
398,72800,2017,125430,1798,0,32,0
399,29400,2011,221000,1598,1,32,1
400,99999,2017,172000,1968,1,44,1
401,6900,2001,100000,999,0,29,-
402,7900,2003,100000,1198,0,35,2
403,39900,2015,158000,1598,1,16,1
404,13500,2006,261400,1968,1,47,1
405,47000,2004,337000,2460,1,30,-
406,54800,2012,291000,1968,1,1,0
407,105000,2019,42700,1498,0,41,1
408,117000,2014,214000,1968,1,30,1
409,15900,2005,170000,1595,0,47,1
410,269000,2018,115000,2967,1,46,1
411,21900,2008,294000,1896,1,47,1
412,29999,2015,51000,999,0,49,1
413,21500,2012,242000,1598,1,35,1
414,80000,2013,47794,1968,1,44,-
415,55900,2013,240000,1968,1,44,1
416,24600,2009,151700,1390,0,16,2
417,42900,2013,285000,1968,1,32,2
418,29999,2012,264000,1968,1,47,-
419,26900,2013,131000,1199,1,35,2
420,89500,2017,161000,1498,0,2,1
421,72000,2016,129000,1798,0,32,1
422,71900,2014,155000,1968,1,32,1
423,110000,2017,78000,1968,1,32,1
424,12900,2003,249000,1984,0,32,-
425,142500,2015,156800,2967,1,46,1
426,39990,2015,220000,1968,1,47,0
427,16900,2004,310215,2496,1,32,-
428,22000,2008,336000,1968,1,32,2
429,38500,2012,316000,1968,1,32,1
430,53900,2015,237000,1968,1,32,1
431,13000,2005,330000,1896,1,39,-
432,24900,2007,147000,1896,1,47,-
433,6499,1998,311000,2792,1,39,2
434,93000,2018,47454,1498,0,16,-
435,45500,2017,176846,1968,1,9,-
436,39900,2014,278200,1390,0,10,1
437,19900,2004,369000,2460,1,46,1
438,25900,2011,245000,1598,1,16,-
439,74800,2018,151800,1968,1,32,1
